TDL2048-Demo
alpha = 0.1
total = 5000000
seed = 2689549431
6-tuple pattern 012345, size = 16777216 (64MB)
6-tuple pattern 456789, size = 16777216 (64MB)
6-tuple pattern 012456, size = 16777216 (64MB)
6-tuple pattern 45689a, size = 16777216 (64MB)
1000	mean = 7727.33	max = 26968
	512	3.3%	(99.7%)
	1024	14.4%	(96.4%)
	2048	43.7%	(82%)
	4096	37.6%	(38.3%)
	8192	0.7%	(0.7%)
47000	mean = 45726	max = 126900
	256	0.1%	(100%)
	512	2.4%	(99.9%)
	1024	16.2%	(97.5%)
	2048	43.1%	(81.3%)
	4096	36.5%	(38.2%)
	8192	1.7%	(1.7%)
48000	mean = 45074.4	max = 172360
	64	0.1%	(100%)
	256	0.3%	(99.9%)
	512	3.3%	(99.6%)
	1024	15.6%	(96.3%)
	2048	43.2%	(80.7%)
	4096	36%	(37.5%)
	8192	1.5%	(1.5%)
49000	mean = 47209.7	max = 133760
	256	0.1%	(100%)
	512	1.5%	(99.9%)
	1024	15.6%	(98.4%)
	2048	41.1%	(82.8%)
	4096	40.3%	(41.7%)
	8192	1.4%	(1.4%)
50000	mean = 47040.3	max = 158960
	256	0.1%	(100%)
	512	2.7%	(99.9%)
	1024	13.8%	(97.2%)
	2048	42.8%	(83.4%)
	4096	38.2%	(40.6%)
	8192	2.4%	(2.4%)
51000	mean = 48406.6	max = 157808
	128	0.1%	(100%)
	256	0.3%	(99.9%)
	512	2.5%	(99.6%)
	1024	13.4%	(97.1%)
	2048	40.6%	(83.7%)
	4096	40.5%	(43.1%)
	8192	2.6%	(2.6%)
52000	mean = 47330.6	max = 146012
	256	0.2%	(100%)
	512	2.4%	(99.8%)
	1024	14.2%	(97.4%)
	2048	40.7%	(83.2%)
	4096	41.2%	(42.5%)
	8192	1.3%	(1.3%)
53000	mean = 49111.8	max = 143080
	256	0.1%	(100%)
	512	2.3%	(99.9%)
	1024	14.5%	(97.6%)
	2048	38%	(83.1%)
	4096	42.5%	(45.1%)
	8192	2.6%	(2.6%)
54000	mean = 48567.7	max = 158156
	256	0.3%	(100%)
	512	2.2%	(99.7%)
	1024	15%	(97.5%)
	2048	36.5%	(82.5%)
	4096	44.1%	(46%)
	8192	1.9%	(1.9%)
55000	mean = 48829.5	max = 155496
	64	0.1%	(100%)
	256	0.2%	(99.9%)
	512	3.3%	(99.7%)
	1024	13.8%	(96.4%)
	2048	36.7%	(82.6%)
	4096	44%	(45.9%)
	8192	1.9%	(1.9%)
56000	mean = 49086.2	max = 166692
	256	0.5%	(100%)
	512	2.8%	(99.5%)
	1024	13.7%	(96.7%)
	2048	37.9%	(83%)
	4096	42.7%	(45.1%)
	8192	2.4%	(2.4%)
57000	mean = 50476.2	max = 171332
	64	0.1%	(100%)
	128	0.1%	(99.9%)
	256	0.1%	(99.8%)
	512	2.6%	(99.7%)
	1024	12.6%	(97.1%)
	2048	36.4%	(84.5%)
	4096	45.2%	(48.1%)
	8192	2.9%	(2.9%)
58000	mean = 51226.9	max = 155968
	256	0.4%	(100%)
	512	2.2%	(99.6%)
	1024	13.1%	(97.4%)
	2048	34.3%	(84.3%)
	4096	47.5%	(50%)
	8192	2.5%	(2.5%)
59000	mean = 50592.4	max = 146604
	256	0.4%	(100%)
	512	2.1%	(99.6%)
	1024	12%	(97.5%)
	2048	37.4%	(85.5%)
	4096	45%	(48.1%)
	8192	3.1%	(3.1%)
60000	mean = 51563	max = 161148
	256	0.4%	(100%)
	512	2.3%	(99.6%)
	1024	11.6%	(97.3%)
	2048	36.7%	(85.7%)
	4096	46.1%	(49%)
	8192	2.9%	(2.9%)
61000	mean = 52466.3	max = 167800
	256	0.3%	(100%)
	512	1.9%	(99.7%)
	1024	12.1%	(97.8%)
	2048	33.8%	(85.7%)
	4096	48%	(51.9%)
	8192	3.9%	(3.9%)
62000	mean = 52508.1	max = 166260
	512	3%	(100%)
	1024	14%	(97%)
	2048	30%	(83%)
	4096	48.8%	(53%)
	8192	4.2%	(4.2%)
63000	mean = 53413.5	max = 155556
	256	0.3%	(100%)
	512	2.3%	(99.7%)
	1024	13.6%	(97.4%)
	2048	29.6%	(83.8%)
	4096	50.4%	(54.2%)
	8192	3.8%	(3.8%)
64000	mean = 52381.3	max = 160576
	256	0.5%	(100%)
	512	2.3%	(99.5%)
	1024	13.3%	(97.2%)
	2048	32.2%	(83.9%)
	4096	47.8%	(51.7%)
	8192	3.9%	(3.9%)
65000	mean = 53057	max = 180928
	256	0.5%	(100%)
	512	1.4%	(99.5%)
	1024	11.7%	(98.1%)
	2048	33.2%	(86.4%)
	4096	50.1%	(53.2%)
	8192	3.1%	(3.1%)
66000	mean = 53333.3	max = 168008
	128	0.1%	(100%)
	256	0.7%	(99.9%)
	512	3%	(99.2%)
	1024	11.5%	(96.2%)
	2048	31.7%	(84.7%)
	4096	48.7%	(53%)
	8192	4.3%	(4.3%)
67000	mean = 54613.4	max = 158184
	256	0.4%	(100%)
	512	2.5%	(99.6%)
	1024	11.8%	(97.1%)
	2048	29.2%	(85.3%)
	4096	51.9%	(56.1%)
	8192	4.2%	(4.2%)
68000	mean = 54072.8	max = 175712
	64	0.1%	(100%)
	256	0.2%	(99.9%)
	512	2.2%	(99.7%)
	1024	12%	(97.5%)
	2048	29.1%	(85.5%)
	4096	53.6%	(56.4%)
	8192	2.8%	(2.8%)
69000	mean = 55011.6	max = 175212
	128	0.1%	(100%)
	256	0.5%	(99.9%)
	512	1.6%	(99.4%)
	1024	12.7%	(97.8%)
	2048	28.7%	(85.1%)
	4096	51.3%	(56.4%)
	8192	5.1%	(5.1%)
70000	mean = 54860.3	max = 177072
	256	0.2%	(100%)
	512	2.5%	(99.8%)
	1024	11.3%	(97.3%)
	2048	29.5%	(86%)
	4096	52.8%	(56.5%)
	8192	3.7%	(3.7%)
71000	mean = 54038.7	max = 157924
	256	0.1%	(100%)
	512	2.3%	(99.9%)
	1024	14%	(97.6%)
	2048	27.9%	(83.6%)
	4096	51.4%	(55.7%)
	8192	4.3%	(4.3%)
72000	mean = 56397.6	max = 173004
	256	0.3%	(100%)
	512	2.2%	(99.7%)
	1024	10.6%	(97.5%)
	2048	29.8%	(86.9%)
	4096	52.2%	(57.1%)
	8192	4.9%	(4.9%)
73000	mean = 55350.7	max = 155408
	256	0.6%	(100%)
	512	3.3%	(99.4%)
	1024	11.7%	(96.1%)
	2048	27.6%	(84.4%)
	4096	51.5%	(56.8%)
	8192	5.3%	(5.3%)
74000	mean = 56933.8	max = 169908
	32	0.1%	(100%)
	256	0.3%	(99.9%)
	512	1.9%	(99.6%)
	1024	10.7%	(97.7%)
	2048	27.7%	(87%)
	4096	54%	(59.3%)
	8192	5.3%	(5.3%)
75000	mean = 55822.4	max = 163468
	64	0.1%	(100%)
	256	0.5%	(99.9%)
	512	2%	(99.4%)
	1024	11%	(97.4%)
	2048	30.4%	(86.4%)
	4096	50.5%	(56%)
	8192	5.5%	(5.5%)
76000	mean = 56762.2	max = 157880
	256	0.2%	(100%)
	512	2.2%	(99.8%)
	1024	11.3%	(97.6%)
	2048	28.7%	(86.3%)
	4096	51.4%	(57.6%)
	8192	6.2%	(6.2%)
77000	mean = 57587.6	max = 172392
	256	0.3%	(100%)
	512	1.1%	(99.7%)
	1024	12.5%	(98.6%)
	2048	28.1%	(86.1%)
	4096	52.5%	(58%)
	8192	5.5%	(5.5%)
78000	mean = 56550.9	max = 143332
	256	0.1%	(100%)
	512	2%	(99.9%)
	1024	10.7%	(97.9%)
	2048	28.3%	(87.2%)
	4096	54.8%	(58.9%)
	8192	4.1%	(4.1%)
79000	mean = 56857	max = 161616
	256	0.4%	(100%)
	512	1.2%	(99.6%)
	1024	12.1%	(98.4%)
	2048	26.9%	(86.3%)
	4096	54.5%	(59.4%)
	8192	4.9%	(4.9%)
80000	mean = 56983	max = 165100
	256	0.1%	(100%)
	512	2.3%	(99.9%)
	1024	10.2%	(97.6%)
	2048	28%	(87.4%)
	4096	54%	(59.4%)
	8192	5.4%	(5.4%)
81000	mean = 57318.8	max = 172268
	32	0.1%	(100%)
	256	0.3%	(99.9%)
	512	2.5%	(99.6%)
	1024	10.8%	(97.1%)
	2048	26.7%	(86.3%)
	4096	54.1%	(59.6%)
	8192	5.5%	(5.5%)
82000	mean = 58125.8	max = 173296
	256	0.2%	(100%)
	512	2.5%	(99.8%)
	1024	9.6%	(97.3%)
	2048	28.5%	(87.7%)
	4096	53.3%	(59.2%)
	8192	5.9%	(5.9%)
83000	mean = 58649.6	max = 169968
	256	0.4%	(100%)
	512	2.2%	(99.6%)
	1024	9.3%	(97.4%)
	2048	29%	(88.1%)
	4096	51.7%	(59.1%)
	8192	7.4%	(7.4%)
84000	mean = 60015.5	max = 169020
	256	0.1%	(100%)
	512	1.9%	(99.9%)
	1024	9%	(98%)
	2048	29%	(89%)
	4096	53.1%	(60%)
	8192	6.9%	(6.9%)
85000	mean = 58269.5	max = 165068
	256	0.2%	(100%)
	512	3%	(99.8%)
	1024	9%	(96.8%)
	2048	28.8%	(87.8%)
	4096	52.6%	(59%)
	8192	6.4%	(6.4%)
86000	mean = 59424.2	max = 177224
	256	0.1%	(100%)
	512	1.8%	(99.9%)
	1024	10%	(98.1%)
	2048	26.4%	(88.1%)
	4096	55.2%	(61.7%)
	8192	6.5%	(6.5%)
87000	mean = 61138.2	max = 173528
	256	0.5%	(100%)
	512	1.5%	(99.5%)
	1024	9.2%	(98%)
	2048	26.5%	(88.8%)
	4096	55.2%	(62.3%)
	8192	7.1%	(7.1%)
88000	mean = 60798.8	max = 171488
	128	0.1%	(100%)
	256	0.2%	(99.9%)
	512	1.4%	(99.7%)
	1024	10.8%	(98.3%)
	2048	23.4%	(87.5%)
	4096	57.4%	(64.1%)
	8192	6.7%	(6.7%)
89000	mean = 61960.9	max = 174540
	256	0.1%	(100%)
	512	2.3%	(99.9%)
	1024	8.8%	(97.6%)
	2048	24.4%	(88.8%)
	4096	56%	(64.4%)
	8192	8.4%	(8.4%)
90000	mean = 60720.6	max = 170012
	128	0.1%	(100%)
	256	0.2%	(99.9%)
	512	2%	(99.7%)
	1024	9.9%	(97.7%)
	2048	25.8%	(87.8%)
	4096	54%	(62%)
	8192	8%	(8%)
91000	mean = 59751.8	max = 168656
	128	0.2%	(100%)
	256	0.2%	(99.8%)
	512	2%	(99.6%)
	1024	11.8%	(97.6%)
	2048	24.5%	(85.8%)
	4096	52.7%	(61.3%)
	8192	8.6%	(8.6%)
92000	mean = 59806	max = 169720
	256	0.1%	(100%)
	512	2%	(99.9%)
	1024	9.7%	(97.9%)
	2048	26.4%	(88.2%)
	4096	54.4%	(61.8%)
	8192	7.4%	(7.4%)
93000	mean = 62438.5	max = 158764
	256	0.3%	(100%)
	512	1.1%	(99.7%)
	1024	7.9%	(98.6%)
	2048	26.1%	(90.7%)
	4096	55.7%	(64.6%)
	8192	8.9%	(8.9%)
94000	mean = 61135.4	max = 173196
	128	0.1%	(100%)
	256	0.4%	(99.9%)
	512	2.8%	(99.5%)
	1024	8.2%	(96.7%)
	2048	25.6%	(88.5%)
	4096	54.4%	(62.9%)
	8192	8.5%	(8.5%)
95000	mean = 62557.6	max = 172052
	256	0.4%	(100%)
	512	1.8%	(99.6%)
	1024	8.4%	(97.8%)
	2048	25.9%	(89.4%)
	4096	53.7%	(63.5%)
	8192	9.8%	(9.8%)
96000	mean = 61835.7	max = 173432
	64	0.2%	(100%)
	256	0.1%	(99.8%)
	512	1.5%	(99.7%)
	1024	10.1%	(98.2%)
	2048	25.2%	(88.1%)
	4096	53.5%	(62.9%)
	8192	9.4%	(9.4%)
97000	mean = 63527.2	max = 173784
	512	2.1%	(100%)
	1024	8.9%	(97.9%)
	2048	23.1%	(89%)
	4096	56.9%	(65.9%)
	8192	9%	(9%)
98000	mean = 62768.2	max = 182836
	256	0.3%	(100%)
